name,port,siz,atm,hyd,pop,gov,law,tl,uwp
System-0000,C,3,2,3,4,7,8,A,C323478-A
System-0001,B,5,3,4,6,6,A,8,B53466A-8
System-0002,D,6,6,9,5,5,4,6,D669554-6
System-0003,C,3,4,0,4,1,2,9,C340412-9
System-0004,C,7,7,5,0,1,0,6,C775010-6
System-0005,C,3,4,5,5,8,A,9,C34558A-9
System-0006,A,7,8,8,3,3,1,A,A788331-A
System-0007,E,5,7,A,4,9,B,6,E57A49B-6
System-0008,X,7,7,5,2,2,2,0,X775222-0
System-0009,C,2,0,0,5,5,5,C,C200555-C
System-0010,E,3,2,3,9,5,1,8,E323951-8
System-0011,D,2,6,9,5,7,3,5,D269573-5
System-0012,E,9,9,7,4,4,1,4,E997441-4
System-0013,E,3,2,0,7,4,4,6,E320744-6
System-0014,B,9,9,6,9,E,H,9,B9969EH-9
System-0015,B,1,0,0,2,0,0,D,B100200-D
System-0016,C,4,7,A,8,7,6,B,C47A876-B
System-0017,C,4,7,6,1,1,3,9,C476113-9
System-0018,E,5,8,9,8,7,7,2,E589877-2
System-0019,C,5,3,2,7,4,3,8,C532743-8
System-0020,D,2,1,0,4,0,0,6,D210400-6
System-0021,D,4,3,4,7,9,8,5,D434798-5
System-0022,B,8,9,A,3,4,7,A,B89A347-A
System-0023,X,5,5,1,A,B,A,2,X551ABA-2
System-0024,B,4,0,0,6,8,9,9,B400689-9
System-0025,X,7,7,9,6,4,6,0,X779646-0
System-0026,X,9,9,A,9,6,9,4,X99A969-4
System-0027,B,4,3,5,8,3,2,9,B435832-9
System-0028,X,1,0,0,8,8,3,2,X100883-2
System-0029,B,4,8,7,3,3,2,C,B487332-C
System-0030,E,4,8,A,8,9,A,4,E48A89A-4
System-0031,X,7,C,A,8,D,9,2,X7CA8D9-2
System-0032,C,2,4,4,7,8,8,7,C244788-7
System-0033,E,5,6,9,9,7,A,9,E56997A-9
System-0034,D,6,1,0,7,6,4,3,D610764-3
System-0035,X,5,7,9,7,5,3,1,X579753-1
System-0036,X,6,6,8,0,2,1,0,X668021-0
System-0037,X,4,4,1,3,2,0,2,X441320-2
System-0038,C,3,3,2,2,4,3,9,C332243-9
System-0039,C,8,B,7,5,3,0,7,C8B7530-7
System-0040,E,7,5,9,3,5,0,9,E759350-9
System-0041,E,F,D,A,4,6,9,7,EFDA469-7
System-0042,B,3,0,0,8,D,E,9,B3008DE-9
System-0043,A,7,8,5,6,7,7,8,A785677-8
System-0044,D,7,8,A,3,2,5,9,D78A325-9
System-0045,D,0,0,0,2,3,6,A,D000236-A
System-0046,E,8,6,5,8,7,8,2,E865878-2
System-0047,X,6,3,4,4,5,3,4,X634453-4
System-0048,X,3,3,0,6,B,8,2,X3306B8-2
System-0049,B,4,5,9,9,7,5,C,B459975-C
System-0050,C,6,7,7,8,D,E,4,C6778DE-4
System-0051,D,3,2,0,3,1,0,6,D320310-6
System-0052,C,4,7,8,4,5,4,B,C478454-B
System-0053,E,7,A,9,4,1,2,9,E7A9412-9
System-0054,C,7,8,8,1,0,1,7,C788101-7
System-0055,X,8,8,A,5,A,B,4,X88A5AB-4
System-0056,B,4,7,4,7,9,B,A,B47479B-A
System-0057,E,4,0,0,1,1,0,9,E400110-9
System-0058,E,6,8,8,4,2,0,5,E688420-5
System-0059,B,6,6,8,2,6,2,7,B668262-7
System-0060,C,8,C,8,6,3,0,7,C8C8630-7
System-0061,X,6,6,6,2,3,3,2,X666233-2
System-0062,A,9,6,4,1,5,0,D,A964150-D
System-0063,E,5,3,5,A,9,9,6,E535A99-6
System-0064,D,7,4,0,9,C,D,7,D7409CD-7
System-0065,E,0,0,0,7,9,D,5,E00079D-5
System-0066,X,6,3,6,5,5,3,1,X636553-1
System-0067,E,6,6,8,6,8,4,6,E668684-6
System-0068,X,4,3,3,4,7,9,2,X433479-2
System-0069,E,1,3,0,1,3,5,6,E130135-6
System-0070,C,6,8,8,3,2,1,8,C688321-8
System-0071,A,4,7,9,6,7,6,E,A479676-E
System-0072,E,6,4,6,2,1,1,7,E646211-7
System-0073,E,4,9,A,4,4,5,8,E49A445-8
System-0074,C,3,5,1,3,4,4,9,C351344-9
System-0075,C,0,0,0,C,E,C,F,C000CEC-F
System-0076,D,3,6,1,5,7,8,5,D361578-5
System-0077,B,5,3,2,7,3,3,A,B532733-A
System-0078,X,7,B,2,7,9,4,0,X7B2794-0
System-0079,C,4,1,0,1,0,1,8,C410101-8
System-0080,C,6,7,3,9,D,H,7,C6739DH-7
System-0081,E,5,A,8,4,3,3,3,E5A8433-3
System-0082,E,6,9,A,1,1,3,5,E69A113-5
System-0083,C,2,5,2,5,9,A,6,C25259A-6
System-0084,D,5,2,2,4,4,7,5,D522447-5
System-0085,C,6,8,7,4,2,1,8,C687421-8
System-0086,B,2,0,0,5,8,4,8,B200584-8
